Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,10.005,44.45,0.0,bottom
C2,100nF,C_0402_1005Metric,2.38125,43.97,90.0,bottom
C3,100nF,C_0402_1005Metric,5.269395,33.75763,270.0,bottom
C4,100nF,C_0402_1005Metric,12.7,36.5125,180.0,bottom
C5,100nF,C_0402_1005Metric,9.072493,34.989999,0.0,bottom
C6,10uF,C_0402_1005Metric,3.96875,44.45,180.0,bottom
C7,100nF,C_0402_1005Metric,6.285671,33.76394,270.0,bottom
C8,1uF,C_0402_1005Metric,38.1,56.67,270.0,bottom
C9,100nF,C_0402_1005Metric,23.835301,53.183642,90.0,bottom
C10,1uF,C_0402_1005Metric,31.75,56.0425,270.0,bottom
C11,100nF,C_0402_1005Metric,46.0375,57.15,90.0,bottom
C12,2.2uF,C_0805_2012Metric,113.40625,42.739866,0.0,bottom
D1,PRTR5V0U2X,SOT-143,41.275,57.15,180.0,bottom
D_SPACE1,D,D_SOD-123F,22.225,69.85,90.0,bottom
D_SPACE2,D,D_SOD-123F,32.54375,64.29375,0.0,bottom
D_SPACE3,D,D_SOD-123F,52.3875,64.29375,0.0,bottom
D_SPACE4,D,D_SOD-123F,71.4375,64.29375,0.0,bottom
D_SPACE5,D,D_SOD-123F,90.4875,64.29375,0.0,bottom
D_SPACE6,D,D_SOD-123F,104.775,72.23125,90.0,bottom
D_SPACE7,D,D_SOD-123F,128.4,64.29375,0.0,bottom
D_SPACE8,D,D_SOD-123F,147.45,64.29375,0.0,bottom
D_SPACE9,D,D_SOD-123F,166.5,64.29375,0.0,bottom
D_SPACE10,D,D_SOD-123F,185.55,64.29375,0.0,bottom
D_SPACE11,D,D_SOD-123F,204.6,64.29375,0.0,bottom
D_SPACE12,D,D_SOD-123F,24.60625,45.24375,0.0,bottom
D_SPACE13,D,D_SOD-123F,38.101094,45.24375,0.0,bottom
D_SPACE14,D,D_SOD-123F,57.15,45.24375,0.0,bottom
D_SPACE15,D,D_SOD-123F,76.2,45.24375,0.0,bottom
D_SPACE16,D,D_SOD-123F,80.9625,45.24375,180.0,bottom
D_SPACE17,D,D_SOD-123F,104.775,53.975,270.0,bottom
D_SPACE18,D,D_SOD-123F,132.55625,45.24375,0.0,bottom
D_SPACE19,D,D_SOD-123F,151.598438,45.24375,0.0,bottom
D_SPACE20,D,D_SOD-123F,170.628825,45.24375,0.0,bottom
D_SPACE21,D,D_SOD-123F,184.94375,45.24375,0.0,bottom
D_SPACE22,D,D_SOD-123F,201.6125,44.45,180.0,bottom
D_SPACE23,D,D_SOD-123F,24.60625,26.19375,180.0,bottom
D_SPACE24,D,D_SOD-123F,33.3375,26.19375,0.0,bottom
D_SPACE25,D,D_SOD-123F,52.3875,26.19375,0.0,bottom
D_SPACE26,D,D_SOD-123F,71.4375,26.19375,0.0,bottom
D_SPACE27,D,D_SOD-123F,90.4875,26.19375,0.0,bottom
D_SPACE28,D,D_SOD-123F,104.775,34.13125,90.0,bottom
D_SPACE29,D,D_SOD-123F,128.5875,26.19375,0.0,bottom
D_SPACE30,D,D_SOD-123F,147.6375,26.19375,0.0,bottom
D_SPACE31,D,D_SOD-123F,166.6875,26.19375,0.0,bottom
D_SPACE32,D,D_SOD-123F,191.29375,26.19375,0.0,bottom
D_SPACE33,D,D_SOD-123F,203.99375,26.19375,180.0,bottom
D_SPACE34,D,D_SOD-123F,47.625,18.25625,270.0,bottom
D_SPACE35,D,D_SOD-123F,69.85,18.25625,270.0,bottom
D_SPACE36,D,D_SOD-123F,76.99375,18.25625,270.0,bottom
D_SPACE37,D,D_SOD-123F,104.775,15.08125,270.0,bottom
D_SPACE38,D,D_SOD-123F,141.2875,18.25625,270.0,bottom
D_SPACE39,D,D_SOD-123F,155.575,18.25625,270.0,bottom
D_SPACE40,D,D_SOD-123F,176.2125,18.25625,270.0,bottom
D_SPACE42,D,D_SOD-123F,119.0625,18.25625,270.0,bottom
F2,ASMD1206-150,Fuse_1206_3216Metric,44.45,56.54375,90.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,38.1,74.6125,180.0,bottom
LED1,WS2812_2020,LED_WS2812_2020,19.05,56.6,0.0,bottom
LED2,WS2812_2020,LED_WS2812_2020,54.76875,56.35625,0.0,bottom
LED3,WS2812_2020,LED_WS2812_2020,85.725,56.35625,0.0,bottom
LED4,WS2812_2020,LED_WS2812_2020,123.825,56.35625,0.0,bottom
LED5,WS2812_2020,LED_WS2812_2020,158.62875,56.35625,0.0,bottom
LED6,WS2812_2020,LED_WS2812_2020,187.325,56.35625,0.0,bottom
LED7,WS2812_2020,LED_WS2812_2020,187.325,24.60625,180.0,bottom
LED8,WS2812_2020,LED_WS2812_2020,158.75,20.6375,180.0,bottom
LED9,WS2812_2020,LED_WS2812_2020,129.38125,20.6375,180.0,bottom
LED10,WS2812_2020,LED_WS2812_2020,80.9625,20.6375,180.0,bottom
LED11,WS2812_2020,LED_WS2812_2020,53.975,20.6375,180.0,bottom
LED12,WS2812_2020,LED_WS2812_2020,19.05,24.60625,180.0,bottom
R1,10k,R_0402_1005Metric,11.1125,56.44,90.0,bottom
R2,5.1k,R_0402_1005Metric,31.46625,73.81875,0.0,bottom
R3,5.1k,R_0402_1005Metric,44.96,73.81875,180.0,bottom
R4,4.7k,R_0402_1005Metric,109.82125,71.4375,180.0,bottom
R5,4.7k,R_0402_1005Metric,106.3625,69.34,0.0,bottom
SW4,SKQGABE010,SW_SPST_SKQG_WithStem,6.35,56.95,0.0,bottom
U1,STM32F072CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,7.14375,39.6875,90.0,bottom
U2,XC6206PxxxMR,SOT-23-3,34.925,56.35625,180.0,bottom
U3,74AHCT1G125,TSOT-23-5,21.43125,51.59375,90.0,bottom
UR1,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.34166,42.739866,180.0,bottom
UR2,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.34166,44.65,0.0,bottom
UR3,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,113.40625,44.65,180.0,bottom
